a	a	Nom:Mas+InvPL
à	à	Pre
a	avoir	Ver:IPre+SG+P3
abaca	abaca	Nom:Mas+SG
abacule	abacule	Nom:Mas+SG
abaissa	abaisser	Ver:IPSim+SG+P3
abaissable	abaissable	Adj:InvGen+SG
abaissai	abaisser	Ver:IPSim+SG+P1
abaissaient	abaisser	Ver:IImp+PL+P3
abaissais	abaisser	Ver:IImp+SG+P1:IImp+SG+P2
abaissait	abaisser	Ver:IImp+SG+P3
abaissâmes	abaisser	Ver:IPSim+PL+P1
abaissant	abaissant	Adj:Mas+SG
abaissant	abaisser	Ver:PPre
abaissante	abaissant	Adj:Fem+SG
abaissantes	abaissant	Adj:Fem+PL
abaissas	abaisser	Ver:IPSim+SG+P2
abaissasse	abaisser	Ver:SImp+SG+P1
abaissassent	abaisser	Ver:SImp+PL+P3
abaissasses	abaisser	Ver:SImp+SG+P2
abaissassiez	abaisser	Ver:SImp+PL+P2
abaissassions	abaisser	Ver:SImp+PL+P1
abaissât	abaisser	Ver:SImp+SG+P3
abaissâtes	abaisser	Ver:IPSim+PL+P2
abaissé	abaissé	Adj:Mas+SG
abaisse	abaisse	Nom:Fem+SG
abaisse	abaisser	Ver:IPre+SG+P1:IPre+SG+P3:SPre+SG+P1:SPre+SG+P3:ImPre+SG+P2
abaissé	abaisser	Ver:PPas+Mas+SG
abaissée	abaissé	Adj:Fem+SG
abaissée	abaissée	Nom:Fem+SG
abaissée	abaisser	Ver:PPas+Fem+SG
abaissées	abaissé	Adj:Fem+PL
abaissées	abaissée	Nom:Fem+PL
abaissées	abaisser	Ver:PPas+Fem+PL
abaissement	abaissement	Nom:Mas+SG
abaissements	abaissement	Nom:Mas+PL
abaissent	abaisser	Ver:IPre+PL+P3:SPre+PL+P3
abaissera	abaisser	Ver:IFut+SG+P3
abaisser	abaisser	Ver:Inf
abaisserai	abaisser	Ver:IFut+SG+P1
abaisseraient	abaisser	Ver:CPre+PL+P3
abaisserais	abaisser	Ver:CPre+SG+P1:CPre+SG+P2
abaisserait	abaisser	Ver:CPre+SG+P3
abaisseras	abaisser	Ver:IFut+SG+P2
abaissèrent	abaisser	Ver:IPSim+PL+P3
abaisserez	abaisser	Ver:IFut+PL+P2
abaisseriez	abaisser	Ver:CPre+PL+P2
abaisserions	abaisser	Ver:CPre+PL+P1
abaisserons	abaisser	Ver:IFut+PL+P1
abaisseront	abaisser	Ver:IFut+PL+P3
abaissés	abaissé	Adj:Mas+PL
abaisses	abaisse	Nom:Fem+PL
abaisses	abaisser	Ver:IPre+SG+P2:SPre+SG+P2
abaissés	abaisser	Ver:PPas+Mas+PL
abaisseur	abaisseur	Adj:Mas+SG
abaisseur	abaisseur	Nom:Mas+SG
abaissez	abaisser	Ver:IPre+PL+P2:ImPre+PL+P2
abaisse-langue	abaisse-langue	Nom:Mas+InvPL
abaissiez	abaisser	Ver:IImp+PL+P2:SPre+PL+P2
abaissions	abaisser	Ver:IImp+PL+P1:SPre+PL+P1
abaissons	abaisser	Ver:IPre+PL+P1:ImPre+PL+P1
abajoue	abajoue	Nom:Fem+SG
abandon	abandon	Nom:Mas+SG
abandonna	abandonner	Ver:IPSim+SG+P3
abandonnai	abandonner	Ver:IPSim+SG+P1
abandonnaient	abandonner	Ver:IImp+PL+P3
abandonnais	abandonner	Ver:IImp+SG+P1:IImp+SG+P2
abandonnait	abandonner	Ver:IImp+SG+P3
abandonnâmes	abandonner	Ver:IPSim+PL+P1
abandonnant	abandonner	Ver:PPre
abandonnant	abandonner	Ver:PPre+Mas+SG
abandonnas	abandonner	Ver:IPSim+SG+P2
abandonnasse	abandonner	Ver:SImp+SG+P1
abandonnassent	abandonner	Ver:SImp+PL+P3
abandonnasses	abandonner	Ver:SImp+SG+P2
abandonnassiez	abandonner	Ver:SImp+PL+P2
abandonnassions	abandonner	Ver:SImp+PL+P1
abandonnât	abandonner	Ver:SImp+SG+P3
abandonnataire	abandonnataire	Nom:InvGen+SG
abandonnâtes	abandonner	Ver:IPSim+PL+P2
abandonné	abandonné	Adj:Mas+SG
abandonné	abandonné	Nom:Mas+SG
abandonne	abandonner	Ver:IPre+SG+P1:IPre+SG+P3:SPre+SG+P1:SPre+SG+P3:ImPre+SG+P2
abandonné	abandonner	Ver:PPas+Mas+SG
abandonnée	abandonné	Adj:Fem+SG
abandonnée	abandonné	Nom:Fem+SG
abandonnée	abandonner	Ver:PPas+Fem+SG
abandonnées	abandonné	Adj:Fem+PL
abandonnées	abandonné	Nom:Fem+PL
abandonnées	abandonner	Ver:PPas+Fem+PL
abandonnent	abandonner	Ver:IPre+PL+P3:SPre+PL+P3
abandonnera	abandonner	Ver:IFut+SG+P3
abandonner	abandonner	Ver:Inf
abandonnerai	abandonner	Ver:IFut+SG+P1
abandonneraient	abandonner	Ver:CPre+PL+P3
abandonnerais	abandonner	Ver:CPre+SG+P1:CPre+SG+P2
abandonnerait	abandonner	Ver:CPre+SG+P3
abandonneras	abandonner	Ver:IFut+SG+P2
abandonnèrent	abandonner	Ver:IPSim+PL+P3
abandonnerez	abandonner	Ver:IFut+PL+P2